track_id,reward_score
fma_000002,1.451885461807251
fma_000003,0.807436466217041
fma_000005,1.7563875913619995
fma_000010,1.2459650039672852
fma_000020,0.8256794214248657
fma_000026,2.241276502609253
fma_000030,2.304915189743042
fma_000046,0.1229577511548996
fma_000048,2.190051794052124
fma_000134,1.1132903099060059
fma_000135,-2.1072208881378174
fma_000136,-1.5511499643325806
fma_000137,-2.692932367324829
fma_000138,-3.5796730518341064
fma_000139,1.7282545566558838
fma_000140,1.7177207469940186
fma_000141,-1.2313554286956787
fma_000142,0.9337339997291565
fma_000144,0.15137866139411926
fma_000145,-0.26771265268325806
fma_000146,0.5394630432128906
fma_000147,-1.3060624599456787
fma_000148,-4.568516731262207
fma_000149,-1.1717615127563477
fma_000150,-0.8652851581573486
fma_000151,-3.050198793411255
fma_000152,-3.196096897125244
fma_000153,-0.5405027866363525
fma_000154,0.6028456091880798
fma_000155,-1.1904551982879639
fma_000156,-2.8901970386505127
fma_000157,-3.0180137157440186
fma_000158,-1.898931622505188
fma_000159,-1.3839542865753174
fma_000160,-1.96640944480896
fma_000161,-1.6857095956802368
fma_000162,-2.35845947265625
fma_000163,-1.0752760171890259
fma_000164,-1.6430518627166748
fma_000165,-1.7011750936508179
fma_000166,-1.0167360305786133
fma_000167,-0.5256983637809753
fma_000168,-2.496419906616211
fma_000169,-1.9875707626342773
fma_000170,-4.813127517700195
fma_000171,-2.4102492332458496
fma_000172,-2.887742757797241
fma_000173,-1.068156361579895
fma_000174,-4.403250694274902
fma_000175,-2.5670411586761475
fma_000176,-3.9633734226226807
fma_000177,-2.785433769226074
fma_000178,-0.917561411857605
fma_000179,-2.2477362155914307
fma_000181,-2.238659143447876
fma_000182,-1.8567578792572021
fma_000183,-1.0705773830413818
fma_000184,-2.064081907272339
fma_000185,-2.136812210083008
fma_000188,-0.5034177899360657
fma_000189,-0.9666065573692322
fma_000190,1.0447163581848145
fma_000191,-1.4427666664123535
fma_000192,-2.744389772415161
fma_000193,-0.3555927276611328
fma_000194,1.2897107601165771
fma_000195,-0.8111904859542847
fma_000196,-0.39734718203544617
fma_000197,-0.45662763714790344
fma_000198,0.658542811870575
fma_000199,-0.5705041289329529
fma_000200,-0.09643814712762833
fma_000201,-0.334703654050827
fma_000202,-0.6542139649391174
fma_000203,1.0300074815750122
fma_000204,1.2929866313934326
fma_000205,0.5277263522148132
fma_000206,-0.5139070153236389
fma_000207,-0.34174755215644836
fma_000208,-0.003530725836753845
fma_000209,-0.7433838248252869
fma_000210,-0.6988374590873718
fma_000211,1.1993861198425293
fma_000212,1.569625973701477
fma_000213,1.095749855041504
